DRAM	Kingston C21_07788-06	
POWER	"AXP1530, AXP305, AXP313A"	https://www.aliexpress.us/item/3256805564267275.html?spm=a2g0o.productlist.main.99.78d04a6fcktusH&algo_pvid=996ce976-70f4-4783-be5a-5b5910981eda&algo_exp_id=996ce976-70f4-4783-be5a-5b5910981eda-49&pdp_npi=3%40dis%21USD%213.6%213.42%21%21%21%21%21%40212279a216880847286291792d07dc%2112000034219281438%21sea%21US%212337426429&curPageLogUid=easJa45vaFIO
